year,tuition,tuition_clean
1970,10537,"$10,537 "
1971,10651,"$10,651 "
1972,10853,"$10,853 "
1973,10337,"$10,337 "
1974,9698,"$9,698 "
1975,9605,"$9,605 "
1976,9818,"$9,818 "
1977,9748,"$9,748 "
1978,9564,"$9,564 "
1979,9164,"$9,164 "
