year,tuition,tuition_clean
2000,15651,"$15,651 "
2001,16175,"$16,175 "
2002,16708,"$16,708 "
2003,17629,"$17,629 "
2004,18224,"$18,224 "
2005,18625,"$18,625 "
2006,19212,"$19,212 "
2007,19413,"$19,413 "
2008,20111,"$20,111 "
2009,20625,"$20,625 "
