year,tuition,tuition_clean
2010,21165,"$21,165 "
2011,21593,"$21,593 "
2012,22150,"$22,150 "
2013,22630,"$22,630 "
2014,23252,"$23,252 "
2015,23851,"$23,851 "
2016,24101,"$24,101 "
2017,24327,"$24,327 "
2018,24623,"$24,623 "
2019,0,
