year,tuition,tuition_clean
1980,9067,"$9,067 "
1981,9391,"$9,391 "
1982,10003,"$10,003 "
1983,10369,"$10,369 "
1984,10926,"$10,926 "
1985,11369,"$11,369 "
1986,11853,"$11,853 "
1987,12013,"$12,013 "
1988,12264,"$12,264 "
1989,12381,"$12,381 "
