year,tuition,tuition_clean
1990,12410,"$12,410 "
1991,12969,"$12,969 "
1992,13243,"$13,243 "
1993,13738,"$13,738 "
1994,13985,"$13,985 "
1995,14426,"$14,426 "
1996,14672,"$14,672 "
1997,15013,"$15,013 "
1998,15509,"$15,509 "
1999,15604,"$15,604 "
