id,name,weight
0,DIANE,43
1,ANDY,27
2,PATRICK,27
3,ANDREA,24
4,JEREMY,24
5,JULIE,24
6,KIM,24
7,BAM,19
8,MAYA,16
9,LEIGH,16
10,LIZ,16
11,CHEF,15
12,MEREDITH,14
13,ANNA,8
14,LAURIE,6
15,SUZANNE,6
16,CHRIS,2
17,IAN,1
18,ELIZABETH,1
19,ROB,1
20,MEG,1
